,MA10-002,$71,,,
,MA11-001,$52,,,
,MA12-001,$52,,,
,MA13-001,$41,,,
,MA14-001,$55,,,
,MA14-002,$55,,,
,MA14-003,$55,,,
,MA14-004,$55,,,
,MA14-005,$55,,,
,MA14-006,$55,,,
,MA15-001,$46,,,
,MA15-002,$46,,,
,MA16-001,$65,,,
,MA18-001,$65,,,
,MA18-002,$65,,,
,MA20-001,$58,,,
,MA21-001,$48,,,
,MA21-002,$48,,,
,MA21-003,$48,,,
,MA23-001,$58,,,
,MA23-002,$58,,,
,MA23-004,$58,,,
,MA23-003,$58,,,
,MA24-001,$48,,,
,MA24-002,$48,,,
,MA24-003,$48,,,
,MA25-001,$74,,,
,MA25-002,$74,,,
,MA25-003,$74,,,
,MA25-004,$74,,,
,MA26-001,$60,,,
,MA27-001,$60,,,
,MA28-001,$63,,,
,MA28-002,$63,,,
,MA29-001,$70,,,
,MA29-002,$70,,,
,TB1-001,$70,,,
,TB1-002,$70,,,
,TB1-003,$70,,,
,TB1-004,$70,,,
,TB1-005,$70,,,
,TB1-006,$70,,,
,TB2-001,$71,,,
,TB2-002,$71,,,
,TB2-003,$71,,,
,TB2-004,$71,,,
,TB4-001,$68,,,
,TB4-002,$65,,,
,TB4-003,$65,,,
,TB3-001,$62,,,
,TB3-002,$62,,,
,TB3-003,$62,,,
,TB3-004,$62,,,
,TB3-005,$62,,,
,TB3-006,$62,,,
,TB3-007,$62,,,
,TB5-001,$70,,,
,TB5-002,$65,,,
,TB5-003,$65,,,
,TB5-004,$65,,,
,TB5-005,$65,,,
,TB5-006,$65,,,
,TB5-007,$65,,,
,TB6-001,$72,,,
,TB6-002,$72,,,
,TB6-003,$72,,,
,TB6-004,$72,,,
,TB7-001,$72,,,
,TB7-002,$72,,,
,TB7-003,$72,,,
,TB8-001,$70,,,
,TB8-002,$70,,,
,TB8-003,$70,,,
,TB8-004,$70,,,
,TB8-005,$70,,,
,TB9-001,$65,,,
,TB9-002,$65,,,
,TB9-003,$65,,,
,TB9-004,$65,,,
,TB10-001,$65,,,
,TB10-002,$65,,,
,TB11-001,$70,,,
,TB11-002,$70,,,
,TB11-003,$70,,,
,TB11-004,$70,,,
,TB14-001,$82,,,
,TB14-002,$82,,,
,TB14-003,$82,,,
,TB14-004,$82,,,
,TB14-005,$82,,,
,TB15-001,$115,,,
,TB16-001,$108,,,
,60-N101,$60,,,
,60-N102,$60,,,
,60-N103,$60,,,
,60-N104,$60,,,
,60-N105,$60,,,
,60-N106,$60,,,
,60-NB201,$73,,,
,60-NB202,$73,,,
,60-NB203,$73,,,
,60-NB204,$73,,,
,60-NB205,$73,,,
,60-NB206,$73,,,
,75-N301,$65,,,
,75-N302,$65,,,
,75-N303,$65,,,
,75-N304,$65,,,
,75-N305,$65,,,
,75-N306,$65,,,
,75-NB401,$77,,,
,75-NB402,$77,,,
,75-NB403,$77,,,
,75-NB404,$77,,,
,75-NB405,$77,,,
,75-NB406,$77,,,
,75-N501,$70,,,
,75-N502,$70,,,
,75-N503,$70,,,
,75-NB601,$85,,,
,75-NB602,$85,,,
,75-NB603,$85,,,
,60-N701,$65,,,
,60-N702,$65,,,
,60-N703,$65,,,
,60-NB801,$77,,,
,60-NB802,$77,,,
,60-NB803,$77,,,
,60-N901,$70,,,
,60-N902,$70,,,
,60-N903,$70,,,
,60-N904,$70,,,
,60-N905,$70,,,
,60-N906,$70,,,
,75-N1001,$98,,,
,75-N1002,$98,,,
,75-N1003,$98,,,
,75-N1004,$98,,,
,75-N1101,$67,,,
,75-N1102,$67,,,
,75-N1103,$67,,,
,75-N1104,$67,,,
,75-NB1201,$82,,,
,75-NB1202,$82,,,
,75-NB1203,$82,,,
,75-NB1204,$82,,,
,75-N1301,$70,,,
,75-N1302,$70,,,
,75-N1303,$70,,,
,75-N1304,$70,,,
,75-NB1401,$85,,,
,75-NB1402,$85,,,
,75-NB1403,$85,,,
,75-NB1404,$85,,,
,FM101,$73,,,
,FM102,$82,,,
,FM103,$82,,,
,FM104,$82,,,
,FM105,$94,,,
,FM201,$72,,,
,FM202,$68,,,
,FM203,$68,,,
,FM301,$83,,,
,FM302,$83,,,
,FM303,$83,,,
,FM304,$83,,,
,FM305,$83,,,
,FM401,$62,,,
,FM402,$62,,,
,FM403,$62,,,
,FM404,$62,,,
,FM405,$62,,,
,FM501,$79,,,
,FM502,$79,,,
,FM503,$79,,,
,FM504,$79,,,
,FM505,$79,,,
,FM601,$85,,,
,FM602,$85,,,
,FM603,$85,,,
,FM604,$85,,,
,FM605,$85,,,
,FM606,$85,,,
,FM701,$73,,,
,FM702,$73,,,
,FM703,$73,,,
,FM704,$73,,,
,FM705,$73,,,
,FM706,$73,,,
,FM801,$64,,,
,FM802,$64,,,
,FM803,$64,,,
,FM901,$113,,,
,FM902,$113,,,
,FM903,$113,,,
,FM904,$113,,,
,FM905,$113,,,
,FM1001,$92,,,
,FM1002,$92,,,
,FM1003,$92,,,
,FM1004,$92,,,
,FM1005,$92,,,
,FM1101,$97,,,
